PositionX,PositionY,ColorR,ColorG,ColorB,ColorA,isDestination,SpecialEvent,isPoisonous,hasViableBacteria
310.0,10.0,29.0,32.0,56.0,255.0,0,0,1,0
360.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
410.0,10.0,0.0,0.0,0.0,0.0,0,0,0,1
460.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
510.0,10.0,0.0,0.0,0.0,0.0,0,0,0,1
560.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
610.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
310.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0
360.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0
410.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0
510.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0
560.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0
610.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0
310.0,110.0,0.0,0.0,0.0,0.0,0,0,0,0
360.0,110.0,0.0,0.0,0.0,0.0,0,0,0,0
410.0,110.0,0.0,0.0,0.0,0.0,0,0,0,0
510.0,110.0,0.0,0.0,0.0,0.0,0,0,0,0
610.0,110.0,0.0,0.0,0.0,0.0,0,0,0,0
310.0,160.0,29.0,32.0,56.0,255.0,0,0,1,0
360.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0
410.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0
460.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0
610.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0
310.0,210.0,0.0,0.0,0.0,0.0,0,0,0,0
360.0,210.0,29.0,32.0,56.0,193.0,0,0,1,0
410.0,210.0,0.0,0.0,0.0,0.0,0,0,0,0
460.0,210.0,0.0,0.0,0.0,0.0,0,0,0,0
510.0,210.0,29.0,32.0,56.0,190.0,0,0,1,0
560.0,210.0,0.0,0.0,0.0,0.0,0,0,0,0
610.0,210.0,0.0,0.0,0.0,0.0,0,0,0,0
660.0,210.0,0.0,0.0,0.0,0.0,1,0,0,0
660.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0
660.0,110.0,0.0,0.0,0.0,0.0,0,0,0,0
